,name,ontology,family,rest,not_family,not_rest,family_ratio,rest_ratio,fold,p-value_right,p-value_both,adj_pvalue,go_index
GO:0050839,cell adhesion molecule binding,molecular_function,12,239,34,570135,0.3529411764705882,0.0004191989616494,841.9419148412503,1.5494302791946122e-30,1.5494302791946124e-30,2.8775133756471376e-29,8049
GO:0046872,metal ion binding,molecular_function,41,58721,5,511653,8.2,0.1147672348251647,71.44896374380545,2.694844166173656e-35,2.6948441661736563e-35,6.568682655048288e-34,6327
GO:0046982,protein heterodimerization activity,molecular_function,11,2231,35,568143,0.3142857142857143,0.0039268282809081,80.0355125824422,3.970348229277047e-17,3.9703482292770466e-17,3.871089523545121e-16,6369
GO:0030335,positive regulation of cell migration,biological_process,11,819,35,569555,0.3142857142857143,0.0014379647268481,218.5628815628816,7.3794283586603625e-22,7.3794283586603625e-22,9.924058827163935e-21,7321
GO:0007155,cell adhesion,biological_process,26,2104,20,568270,1.3,0.0037024653773734,351.1173954372624,3.376303052001209e-51,3.376303052001209e-51,1.6459477378505896e-49,2832
GO:0007517,muscle organ development,biological_process,13,342,33,570032,0.3939393939393939,0.0005999663176804,656.6025163919901,1.6809556849323354e-31,1.6809556849323354e-31,3.2778635856180546e-30,3124
GO:0031623,receptor internalization,biological_process,16,241,30,570133,0.5333333333333333,0.0004227083855872,1261.7051175656984,1.7539849974933876e-42,1.7539849974933872e-42,6.84054149022421e-41,7842
GO:0045445,myoblast differentiation,biological_process,12,73,34,570301,0.3529411764705882,0.0001280025810931,2757.2973408541498,2.058358899660816e-36,2.058358899660816e-36,5.733999791912273e-35,12444
GO:0071404,cellular response to low-density lipoprotein particle stimulus,biological_process,16,66,30,570308,0.5333333333333333,0.0001157269405303,4608.549494949495,6.87066739447271e-51,6.870667394472707e-51,2.9772892042715066e-49,18110
GO:0007520,myoblast fusion,biological_process,12,94,34,570280,0.3529411764705882,0.0001648313109349,2141.226533166458,3.4391426379359025e-35,3.439142637935904e-35,7.88979781644119e-34,3127
GO:0007229,integrin-mediated signaling pathway,biological_process,46,277,0,570097,inf,0.0004858822270596,inf,1.5036441683439875e-151,1.5036441683439875e-151,5.864212256541552e-149,2898
GO:0016020,membrane,cellular_component,19,22333,27,548041,0.7037037037037037,0.0407506007762192,17.268547955110442,2.7587728516864927e-15,2.758772851686492e-15,2.338959591647243e-14,732
GO:0043235,receptor complex,cellular_component,18,683,28,569691,0.6428571428571429,0.0011988955416181,536.2078017151224,8.95846607121154e-41,8.95846607121154e-41,3.1761834252477284e-39,1960
GO:0009986,cell surface,cellular_component,36,3721,10,566653,3.6,0.0065666289598749,548.2264982531577,9.578856897347007e-70,9.578856897347004e-70,6.2262569832755524e-68,673
GO:0030027,lamellipodium,cellular_component,12,742,34,569632,0.3529411764705882,0.0013025953598112,270.95227524972256,9.733929718476806e-25,9.733929718476806e-25,1.460089457771521e-23,882
GO:0042470,melanosome,cellular_component,15,508,31,569866,0.4838709677419355,0.0008914376362162,542.7984505969013,1.1078450303210742e-34,1.1078450303210742e-34,2.400330899028995e-33,1858
GO:0005925,focal adhesion,cellular_component,38,922,8,569452,4.75,0.0016191004685206,2933.7277657266814,4.788946421103882e-98,4.788946421103883e-98,6.225630347435049e-96,458
